Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2015,YR2015,Poland,POL,803.95965576,12560.051419682,4.45288399815828,6.39477158
2015,YR2015,Portugal,PRT,1790.53405762,19250.1065376852,2.2144828853083,9.31645775
2015,YR2015,Slovenia,SVN,1775.86083984,20890.1664304173,2.13325802761534,8.49823952
2015,YR2015,Sweden,SWE,5598.68164063,51545.4836095322,3.39017629600058,10.80418396
2015,YR2015,United States,USA,9243.62109375,56762.7294515989,1.95300411790625,16.48109245
2015,YR2015,United Kingdom,GBR,4446.99609375,45071.0743234873,1.58497938949145,9.75462151
2016,YR2016,Austria,AUT,4709.87597656,45307.5878620442,0.892469139632297,10.3522625
2016,YR2016,Canada,CAN,4668.23632813,42315.6037056806,-0.135842621321913,11.03318405
2016,YR2016,Chile,CHL,1179.73376465,13785.6875977318,0.550297854884562,8.51866722
2016,YR2016,Denmark,DNK,5624.32910156,54663.9983719195,2.44336887407066,10.25162029
2016,YR2016,Estonia,EST,1226.0859375,18295.3429322119,3.12553830458751,6.70240974
2016,YR2016,France,FRA,4262.22363281,37062.5335723839,0.829056664516742,11.48530769
2016,YR2016,Germany,DEU,4742.96386719,42136.1207908003,1.40810207548923,11.23263836
2016,YR2016,Iceland,ISL,5015.73291016,61987.9263620283,4.83829921427557,8.09714794
2016,YR2016,Ireland,IRL,4709.16845703,62895.9111239299,0.861643052081121,7.44555712
2016,YR2016,Italy,ITA,2699.73291016,30960.7315088911,1.46569044434084,8.72533035
2016,YR2016,Netherlands,NLD,4753.67431641,46039.105928411,1.64931554652068,10.2942524
2016,YR2016,Norway,NOR,7496.76855469,70867.3609970749,0.277407784487878,10.59129524
2016,YR2016,Poland,POL,813.47277832,12378.8117640735,2.99777305502597,6.53473854
2016,YR2016,Portugal,PRT,1875.2421875,19991.9724878811,2.34182321593775,9.39439487
2016,YR2016,Slovenia,SVN,1835.40734863,21678.3594670635,3.11634660116351,8.4630394
2016,YR2016,Sweden,SWE,5680.72558594,51965.1571531985,0.79614630049835,10.85240364
2016,YR2016,United States,USA,9594.74316406,57866.7449341091,0.933375361665711,16.79314804
2016,YR2016,United Kingdom,GBR,4037.80810547,41146.0773555246,1.39384882462006,9.69526958
2017,YR2017,Austria,AUT,4938.91992188,47429.1584564391,1.55072408627153,10.38402557
2017,YR2017,Canada,CAN,4900.66894531,45129.4292980922,1.81127891680259,10.86184978
2017,YR2017,Chile,CHL,1367.71643066,15045.5278507601,-0.213266446651744,9.06854153
2017,YR2017,Denmark,DNK,5834.02050781,57610.0981801135,2.16235511316152,10.09825516
2017,YR2017,Estonia,EST,1350.12646484,20437.7653767361,5.66403908236126,6.59727049
2017,YR2017,France,FRA,4411.71142578,38781.049487084,1.99499844733441,11.35755825
2017,YR2017,Germany,DEU,5064.84326172,44652.5891722723,2.29720604740949,11.32420826
2017,YR2017,Iceland,ISL,5944.97167969,72010.1490316258,1.7794101347671,8.26131916
2017,YR2017,Ireland,IRL,5010.25634766,69970.9489145768,7.8250642589415,7.14633131
2017,YR2017,Italy,ITA,2809.72143555,32406.7203150137,1.82033385192226,8.67773914
2017,YR2017,Netherlands,NLD,4934.57519531,48675.2223350217,2.30428473259315,10.1082983
2017,YR2017,Norway,NOR,7815.78662109,76131.8384032764,1.63950714511496,10.31589031
2017,YR2017,Poland,POL,909.57818604,13815.499946254,5.12689681500834,6.5601325
2017,YR2017,Portugal,PRT,1998.06469727,21490.4298631042,3.75909438887767,9.30583763
2017,YR2017,Slovenia,SVN,1925.03479004,23514.0254604149,4.74710618321161,8.18480968
2017,YR2017,Sweden,SWE,5837.77050781,53791.5087298403,1.19514757132167,10.78509998
2017,YR2017,United States,USA,9904.23730469,59907.754260885,1.59713559028371,16.76793671
2017,YR2017,United Kingdom,GBR,3930.33666992,40622.6893883232,1.74995379706114,9.58797741
2018,YR2018,Austria,AUT,5337.21826172,51466.5565633624,1.92771305987296,10.34483242
2018,YR2018,Canada,CAN,5052.67773438,46547.7951820036,1.33556428524561,10.84608173
2018,YR2018,Chile,CHL,1457.27270508,15795.7081412484,2.1390781835667,9.15850353
2018,YR2018,Denmark,DNK,6232.72167969,61591.9288698958,1.4850851572351,10.09764194
2018,YR2018,Estonia,EST,1553.43359375,23165.8494786433,3.42361905839128,6.72095728
2018,YR2018,France,FRA,4668.88085938,41557.8548588869,1.50053912327405,11.21255589
2018,YR2018,Germany,DEU,5503.99707031,47939.2782884496,0.678212594110718,11.45727539
2018,YR2018,Iceland,ISL,6233.91552734,74452.1890731447,2.11737323957688,8.37734032
2018,YR2018,Ireland,IRL,5484.22119141,79250.387851767,7.19131450576147,6.88002014
2018,YR2018,Italy,ITA,3002.76123047,34622.1696664735,1.11781661979235,8.68187714
2018,YR2018,Netherlands,NLD,5330.66064453,53044.5324352244,1.76493726416223,10.01993561
2018,YR2018,Norway,NOR,8271.85839844,82792.8427113304,0.165560772299784,10.02394581
2018,YR2018,Poland,POL,978.73565674,15504.5089372145,5.94542050836115,6.32764196
2018,YR2018,Portugal,PRT,2216.30664063,23562.5545228187,3.01412372965098,9.4126482
2018,YR2018,Slovenia,SVN,2169.57910156,26123.7471277906,4.07631630530021,8.27911568
2018,YR2018,Sweden,SWE,6005.06591797,54589.0603860606,0.772577449000039,10.94106293
2018,YR2018,United States,USA,10284.5546875,62823.309438197,2.40486787201,16.64094353
2018,YR2018,United Kingdom,GBR,4227.65039063,43306.3083049317,1.09062395623573,9.65815544
2019,YR2019,Austria,AUT,5262.05419922,50070.4033482892,1.06696970619677,10.47507858
2019,YR2019,Canada,CAN,5083.72558594,46374.1527517191,0.435426335836112,10.95021915
2019,YR2019,Chile,CHL,1369.48400879,14627.14501648,-1.04550574115309,9.33272266
2019,YR2019,Denmark,DNK,6058.83007813,59592.9806886454,1.13065749415978,10.12139606
2019,YR2019,Estonia,EST,1598.83752441,23424.4847073513,3.35497243936102,6.82277584
2019,YR2019,France,FRA,4508.34130859,40494.8982936269,1.49589898756051,11.09835148
2019,YR2019,Germany,DEU,5478.10253906,46793.6867615995,0.828957962184475,11.69622993
2019,YR2019,Iceland,ISL,5865.23144531,68403.1448095284,-0.409031963961425,8.5256052
2019,YR2019,Ireland,IRL,5430.99707031,80927.0746710651,4.00871470995814,6.6733737
2019,YR2019,Italy,ITA,2910.62792969,33673.7509627414,1.64850339347826,8.6563549
2019,YR2019,Netherlands,NLD,5340.61279297,52476.2732533318,1.28988912106223,10.14039612
2019,YR2019,Norway,NOR,8007.35546875,76430.5889473338,0.443398577675566,10.5360651
2019,YR2019,Poland,POL,1014.03820801,15700.0135796738,4.47555360231895,6.44682503
2019,YR2019,Portugal,PRT,2221.73095703,23330.8172889316,2.65839260557085,9.51379871
2019,YR2019,Slovenia,SVN,2219.10058594,26016.0786839136,2.73324724040435,8.52314281
2019,YR2019,Sweden,SWE,5652.98974609,51939.4297445291,0.957561656419784,10.83224297
2019,YR2019,United States,USA,10661.02832031,65120.3946628653,1.82966838809384,16.67647362
2019,YR2019,United Kingdom,GBR,4265.20117188,42747.080460496,1.0327408419658,9.87480068
2020,YR2020,Austria,AUT,5585.08837891,48809.2268762235,-6.8415447032182,11.47426033
2020,YR2020,Canada,CAN,5619.41601563,43349.677855557,-6.08821204931374,12.93967533
2020,YR2020,Chile,CHL,1278.17883301,13165.3863429858,-7.4136269460453,9.75300503
2020,YR2020,Denmark,DNK,6438.39306641,60915.4243995462,-2.28001526350688,10.52817535
2020,YR2020,Estonia,EST,1787.86657715,23595.2436836437,-0.747277944180098,7.75206661
2020,YR2020,France,FRA,4768.72705078,39055.2829280747,-8.0344742951426,12.20504951
2020,YR2020,Germany,DEU,5930.33203125,46772.8253507537,-3.77542971403229,12.82248878
2020,YR2020,Iceland,ISL,5636.93505859,58813.7969830876,-8.73526415034387,9.55796337
2020,YR2020,Ireland,IRL,6092.17675781,85420.1908556082,5.0973854012496,7.10143661
2020,YR2020,Italy,ITA,3057.04248047,31918.6934933773,-8.53468634469738,9.63378334
2020,YR2020,Netherlands,NLD,5846.15478516,52162.5701150397,-4.41855550924734,11.1359272
2020,YR2020,Norway,NOR,7704.43603516,68340.0181033702,-1.85769610859076,11.41755009
2020,YR2020,Poland,POL,1025.98486328,15816.8204022734,-1.84844038810836,6.49310207
2020,YR2020,Portugal,PRT,2341.64013672,22242.4064179716,-8.39685451108976,10.54930592
2020,YR2020,Slovenia,SVN,2417.20874023,25545.2410027132,-4.96004083297935,9.45357895
2020,YR2020,Sweden,SWE,6027.96728516,52837.9039778149,-2.87468419018519,11.37992764
2020,YR2020,United States,USA,11702.40917969,63528.6343027508,-3.70095252825833,18.81582642
2020,YR2020,United Kingdom,GBR,4926.63134766,40318.4169225055,-11.3556760569182,11.97759342
2021,YR2021,Austria,AUT,6491.12207031,53637.7057109897,4.10231717627012,12.17357063
2021,YR2021,Canada,CAN,6086.07519531,52358.6216405155,4.40927515325929,11.67882252
2021,YR2021,Chile,CHL,1478.8293457,16247.4010150765,10.6318812179678,9.09627819
